,cerrado,mata_nebular,mata_riparia,mata_rupicola,mata_seca,mata_semidecidua
Bauhinia_acuruana,1,0,0,0,1,0
Bauhinia_cheilantha,1,0,0,0,0,0
Bauhinia_forficata,0,0,1,0,1,1
Bauhinia_fusconervis,0,0,0,0,0,1
Bauhinia_glaziovii,0,1,0,1,0,0
Bauhinia_longifolia,1,0,1,0,0,1
Bauhinia_ovata,0,0,0,0,0,1
Bauhinia_pentandra,0,0,0,0,1,0
Bauhinia_pulchella,1,0,0,0,1,1
Bauhinia_rufa,1,0,0,0,1,0
Bauhinia_ungulata,1,0,1,0,1,0
Beilschmiedia_taubertiana,0,1,0,0,0,0
Beilschmiedia_vestita,0,0,0,0,0,1
Berberis_laurina,1,1,0,1,0,0
Bernardinia_fluminensis,0,0,0,0,0,1
Blechnum_schomburgkii,0,1,0,1,0,0
Blepharocalyx_salicifolius,1,1,1,1,0,1
Boehmeria_caudata,0,1,1,0,0,1
Bowdichia_virgilioides,1,0,1,0,0,1
Brasiliopuntia_brasiliensis,0,0,0,0,1,0
Bredemeyera_floribunda,1,0,1,0,0,1
Bredemeyera_hebeclada,0,1,0,0,0,1
Brosimum_gaudichaudii,1,0,0,0,0,1
Brosimum_glaucum,0,1,0,0,0,1
Brosimum_glaziovii,0,0,0,0,0,1
Brosimum_guianense,0,0,0,0,0,1
Brosimum_lactescens,0,0,0,0,0,1
Brugmansia_suaveolens,0,0,0,1,0,0
Brunfelsia_pauciflora,0,1,0,0,0,1
Buchenavia_hoehneana,0,0,0,0,0,1
Buchenavia_tetraphylla,0,0,0,0,0,1
Buchenavia_tomentosa,1,0,0,0,0,0
Buddleja_stachyoides,1,1,0,1,0,1
Butia_capitata,1,0,0,0,0,0
Byrsonima_affinis,1,0,0,0,0,0
Byrsonima_chrysophylla,0,0,0,0,0,1
Byrsonima_clausseniana,1,0,0,0,0,0
Byrsonima_coccolobifolia,1,0,0,0,0,0
Byrsonima_correifolia,0,0,0,1,0,0
Byrsonima_crassifolia,0,0,1,0,0,1
Byrsonima_crispa,0,0,0,0,0,1
Byrsonima_cydoniifolia,1,0,0,0,0,0
Byrsonima_fonsecae,1,0,0,1,0,0
Byrsonima_intermedia,1,0,0,0,0,0
Byrsonima_lancifolia,1,0,0,1,0,0
Byrsonima_laxiflora,0,0,1,0,0,1
Byrsonima_ligustrifolia,0,1,0,1,0,1
Byrsonima_macrophylla,0,1,0,1,0,1
Byrsonima_martiana,0,0,0,1,0,0
Byrsonima_pachyphylla,1,0,0,0,0,0
Byrsonima_perseifolia,0,0,0,1,0,0
Byrsonima_salzmanniana,1,0,0,1,0,0
Byrsonima_sericea,1,0,1,0,0,1
Byrsonima_spinensis,1,0,0,1,0,0
Byrsonima_stannardii,0,1,0,1,0,1
Byrsonima_stipulacea,0,0,0,0,0,1
Byrsonima_vacciniifolia,1,1,0,1,0,1
Byrsonima_variabilis,1,1,0,1,0,0
Byrsonima_verbascifolia,1,0,0,0,0,0
Cabralea_canjerana,0,1,1,1,0,1
Cabralea_polytricha,1,0,0,0,0,0
Calliandra_asplenioides,1,1,0,1,0,1
Calliandra_brevipes,1,0,0,0,0,0
Calliandra_foliolosa,0,0,1,0,0,0
Calliandra_tweedii,0,0,0,1,0,0
Callianthe_bedfordiana,0,0,0,0,0,1
Callianthe_rufinerva,1,1,0,1,0,0
Callisthene_castellanosii,0,0,0,1,0,0
Callisthene_erythroclada,1,0,0,1,0,0
Callisthene_fasciculata,0,0,0,0,1,0
Callisthene_hassleri,1,0,0,0,0,0
Callisthene_major,1,0,1,1,0,1
Callisthene_microphylla,1,0,0,0,1,0
Callisthene_minor,0,0,0,1,0,1
Calophyllum_brasiliense,1,1,1,1,0,1
Calyptranthes_brasiliensis,1,1,0,1,0,1
Calyptranthes_clusiifolia,0,0,1,0,0,1
Calyptranthes_concinna,0,1,0,1,0,1
Calyptranthes_grammica,0,1,1,1,0,1
Calyptranthes_grandifolia,0,0,0,0,0,1
Calyptranthes_lucida,0,0,1,0,0,1
Calyptranthes_pteropoda,0,1,0,1,0,0
Calyptranthes_pulchella,0,1,0,1,0,1
Calyptranthes_rufa,0,0,0,1,0,0
Calyptranthes_widgreniana,0,0,1,0,0,1
Campomanesia_eugenioides,0,0,0,1,0,0
Campomanesia_guaviroba,0,1,0,0,0,1
Campomanesia_guazumifolia,0,1,0,1,1,1
Campomanesia_laurifolia,0,0,0,0,0,1
Campomanesia_lundiana,0,0,0,0,0,1
Campomanesia_prosthecesepala,0,0,0,0,0,1
Campomanesia_rufa,0,1,0,1,0,1
Campomanesia_sessiliflora,1,1,1,1,0,1
Campomanesia_simulans,0,1,0,1,0,0
Campomanesia_velutina,1,1,1,1,0,1
Campomanesia_xanthocarpa,0,1,0,0,0,1
Cardiopetalum_calophyllum,0,0,0,0,0,1
Cariniana_estrellensis,0,1,1,0,0,1
Cariniana_legalis,0,0,0,0,0,1
Carpotroche_brasiliensis,0,0,0,0,0,1
Caryocar_brasiliense,1,0,0,0,0,0
Caryodendron_janeirense,0,0,0,0,0,1
Casearia_aculeata,0,0,0,1,0,0
Casearia_arborea,0,0,1,0,0,1
Casearia_commersoniana,0,0,0,0,0,1
Casearia_decandra,0,1,1,1,0,1
Casearia_eichleriana,1,0,0,1,0,1
Casearia_gossypiosperma,0,0,1,0,1,0
Casearia_grandiflora,1,0,0,1,0,1
Casearia_lasiophylla,0,0,0,0,0,1
Casearia_mariquitensis,0,0,0,0,0,1
Casearia_mestrensis,1,0,0,0,0,0
Casearia_obliqua,0,1,0,1,0,1
Casearia_rufescens,1,0,0,1,0,1
Casearia_rupestris,0,0,1,0,1,1
Casearia_selloana,0,0,0,0,1,1
Casearia_sylvestris,1,1,1,1,1,1
Casearia_ulmifolia,0,0,0,0,0,1
Cassia_ferruginea,0,1,1,0,0,1
Cecropia_glaziovii,0,1,0,1,0,1
Cecropia_hololeuca,0,1,0,1,0,1
Cecropia_pachystachya,0,0,1,1,1,1
Cedrela_fissilis,0,1,1,0,1,1
Cedrela_odorata,0,1,0,0,1,1
Ceiba_jasminodora,0,0,0,1,0,1
Ceiba_pubiflora,0,0,0,0,1,0
Ceiba_rubriflora,0,0,0,0,1,0
Ceiba_speciosa,0,0,0,0,0,1
Celtis_brasiliensis,0,0,1,0,1,1
Celtis_iguanaea,0,1,1,0,1,1
Cenostigma_macrophyllum,0,0,0,0,0,1
Centrolobium_microchaete,0,0,0,0,0,1
Centrolobium_tomentosum,0,1,0,0,0,1
Cereus_jamacaru,1,0,0,0,1,1
Cestrum_axillare,0,0,1,1,1,1
Cestrum_bracteatum,0,1,1,1,0,1
Cestrum_mariquitense,0,0,1,1,1,1
Cestrum_obovatum,1,0,0,0,0,0
Cestrum_pedicellatum,0,0,1,0,0,0
Cestrum_schlechtendalii,0,1,1,0,0,1
Cestrum_strigilatum,0,0,1,0,0,0
Cestrum_velutinum,0,0,1,0,0,0
Chaetocarpus_myrsinites,0,0,0,0,0,1
Chamaecrista_adenophylla,1,0,0,0,0,0
Chamaecrista_apoucouita,0,0,0,1,0,0
Chamaecrista_aspleniifolia,0,0,0,0,0,1
Chamaecrista_brachystachya,1,1,0,1,0,0
Chamaecrista_bracteolata,1,0,0,1,0,0
Chamaecrista_celiae,1,0,0,0,0,0
Chamaecrista_cytisoides,1,1,0,1,0,1
Chamaecrista_decora,0,1,0,1,0,0
Chamaecrista_dentata,1,1,0,1,0,0
Chamaecrista_duartei,0,0,0,0,0,1
Chamaecrista_ensiformis,0,0,1,0,0,1
Chamaecrista_ericifolia,0,0,0,1,0,0
Chamaecrista_glaziovii,1,0,0,1,0,0
Chamaecrista_glischrodes,1,0,1,0,0,0
Chamaecrista_hedysaroides,1,1,0,1,0,0
Chamaecrista_lentiscifolia,0,0,0,1,0,0
Chamaecrista_multiseta,1,0,0,0,0,0
Chamaecrista_orbiculata,1,0,0,0,0,0
Chamaecrista_phyllostachya,1,0,0,1,0,0
Chamaecrista_pilicarpa,1,1,0,0,0,0
Cheiloclinium_cognatum,0,0,1,0,0,1
Chionanthus_crassifolius,1,1,1,1,0,1
